,lat,lon,name,neighbor
20400292,34.0273404,-118.2765547,,"['6813565320', '6813513564', '5556117120']"
21098539,34.02549,-118.2915534,,"['1286136440', '6389467809', '4015203133', '6389467808', '1286136455']"
21098546,34.030993,-118.2647022,,"['1866577831', '3574052697', '4012726941', '4060083400']"
21302781,34.0203714,-118.2744343,,"['6807241405', '7424313398', '7867482499', '1732340074']"
21302782,34.0162746,-118.2770674,,"['6820982898', '6820982894', '6820982899', '6820982896']"
21302785,34.0111025,-118.2799533,,"['6788332708', '6788332705', '1837206578']"
21302793,34.0157624,-118.2759344,,"['6820982914', '6820982916', '6820982912', '6820982918']"
21302795,34.0111015,-118.2789125,,"['1837206592', '4060035996', '122609799']"
21302801,34.0111381,-118.2827342,,"['5617976418', '1870795205', '1855143754', '1855143774']"
21306059,34.0253894,-118.2876014,,"['6813379476', '544672028']"
21306060,34.0237673,-118.2840103,,"['6813379466', '544671962', '6813379465', '6813379469']"
21306061,34.0240911,-118.2838474,,"['6813379428', '544671955']"
29477080,34.0267535,-118.2747323,,"['3194655793', '1400581341']"
29477081,34.0292254,-118.2742922,,"['1400581343', '1613487073']"
33078879,34.0111259,-118.2740312,,"['4343588864', '4343588865', '4343588866']"
33078880,34.0148892,-118.2740424,,"['1773954382', '123120189', '4015477533']"
33078883,34.0167884,-118.273815,,"['1738429784', '4343588870', '123120181']"
33078886,34.0200304,-118.2717673,,"['1732340091', '122993638', '4012726920']"
33078887,34.026738,-118.2674782,,"['6816895139', '4012726937', '123120151']"
50781917,34.0283786,-118.2745175,,"['1400581338', '1400581339']"
63068532,34.0255152,-118.2959053,,"['6818427949', '6818427945', '6818427951', '6818427947']"
63068577,34.0183577,-118.2944281,,"['122602810', '63068593', '122935638']"
63068593,34.0183555,-118.293079,,"['6807245745', '63068577']"
63068610,34.0251461,-118.2870615,,"['6818390140', '6818390139', '6818390143', '6813379474']"
63068643,34.0219044,-118.2800026,,"['6813379496', '5690152757', '6813379493', '6813379494']"
63068674,34.0183398,-118.2915456,,"['2193439972', '6813379562', '6813379574', '6813379564']"
63765355,34.0178643,-118.274622,,"['123254974', '6816305553', '6816305554', '6808187445', '6816305558']"
63765376,34.0171741,-118.2817732,,"['6820935908', '6820972452']"
63785414,34.0253432,-118.2697557,,"['4011837228', '4011837229', '6788584348', '4060127202']"
63785441,34.0314578,-118.2657439,,"['1778692816', '4060083400', '1738419613', '4012842279']"
63785495,34.0245366,-118.2768348,,"['5680945549', '2193435026', '6208583983', '122855868']"
63785502,34.0260271,-118.2758599,,"['2193435072', '122855866', '2193435018', '7040336497', '5680945536']"
63785514,34.026784,-118.275326,,"['4835549601', '4060116190', '3403035582']"
63785522,34.0276786,-118.2749503,,"['2193435045', '4400460716', '2193435055', '4400460712', '4011837232']"
63785537,34.0301809,-118.2730503,,"['6225907126', '2193435046', '6225907125', '6225907131']"
63785567,34.0196638,-118.2748989,,"['4012759743', '7424313393', '4012792179', '4012792180']"
63785577,34.0191581,-118.2737797,,"['4011837221', '7424313399', '7867482505', '4012759741']"
63785589,34.0186531,-118.272646,,"['7424313405', '4012726917', '2613066347', '4012842270']"
67666150,34.0248552,-118.2686825,,"['6805603634', '4012726933', '4012842271', '7861033558']"
67666164,34.0162284,-118.2672391,,"['123715918', '123009684', '7424270434', '4015486540', '7360424710']"
67666219,34.0137446,-118.2663101,,"['123373478', '1716461393', '1790748067', '7071968735']"
72092084,34.031128,-118.2645936,,"['1738419621', '4060083399', '1738419610', '2611833620']"
72092213,34.0315435,-118.2656794,,"['1778692816', '1873055916']"
122436252,34.0153346,-118.2827732,,"['6820972451', '1836105028']"
122454250,34.0300578,-118.2747604,,"['6816193809', '6816193812', '1832234140']"
122454252,34.0299975,-118.2749428,,"['4400460741', '1832234144', '6816959863']"
122470423,34.0181564,-118.2787125,,"['123292049', '4399914023']"
122571158,34.0315334,-118.280863,,"['122571162', '2613119049']"
122571162,34.0312666,-118.2802529,,"['122571158', '7864025396', '3398621878']"
122602810,34.0190242,-118.2944296,,"['6816819734', '6817117834', '1473199422', '63068577']"
122602812,34.0190332,-118.2977159,,"['6817117834', '1473199427', '123112834']"
122609797,34.0111025,-118.2774298,,"['4015477524', '4015492465', '4019292082']"
122609799,34.0111025,-118.2783654,,"['1837206589', '4015492466', '21302795']"
122609808,34.0110913,-118.2815982,,"['4020099340', '4020099339', '1870795193']"
122609812,34.0110253,-118.2872325,,"['1855173110', '1855173109', '1855143756']"
122619489,34.0169718,-118.2742435,,"['6816305553', '216155292', '1738429784', '6807583649']"
122619498,34.0160607,-118.2742823,,"['4343588868', '4015477532', '6807583648']"
122619500,34.0144261,-118.2753142,,"['1732243590', '4015477530', '1732243887']"
122619502,34.0140478,-118.2755653,,"['123120189', '4015477530', '122619504']"
122619504,34.0136051,-118.2758519,,"['6819170163', '4015477527', '122619502']"
122619506,34.0130375,-118.2762005,,"['6790463801', '4015477527', '1732340069']"
122634395,34.0130873,-118.274037,,"['6471706817', '6790463801', '1716288068', '123120189']"
122634398,34.0130944,-118.2728187,,"['6471706817', '7874420539', '1838284631']"
122634401,34.0131685,-118.2720324,,"['122634403', '123015386', '1838284629']"
122634403,34.0128084,-118.271222,,"['122634401', '122634409', '1773954380', '123153851']"
122634409,34.0124589,-118.2704356,,"['122634403', '122634411', '123732661', '123732667']"
122634411,34.0121096,-118.2696495,,"['122634409', '7874191229', '123715930']"
122654285,34.0172042,-118.2694333,,"['6473029423', '123009682', '4012842268', '4012842269']"
122659026,34.0243263,-118.2704204,,"['4012726929', '6805477815', '4011837228', '4011837226']"
122659031,34.0254357,-118.27294,,"['3663661788', '4147530483', '6813513569']"
122659036,34.0309262,-118.2959152,,"['122659038', '122659224']"
122659038,34.0309217,-118.2969976,,"['122659036', '122659040', '123295518', '358828799']"
122659040,34.0309171,-118.2981006,,"['122659038', '123178706']"
122659187,34.0271719,-118.2768413,,"['6813513563', '7863689395']"
122659191,34.0287442,-118.2803971,,"['6816822864', '2613117891']"
122659207,34.0302951,-118.2857237,Crosswalk1,"['6816193772', '6813416126']"
122659209,34.0303745,-118.2864602,,['6813416126']
122659211,34.0302885,-118.2873745,,"['6987230639', '6813416127']"
122659220,34.0304902,-118.291558,,"['6818427895', '6818427897', '6818427893']"
122659222,34.030478,-118.294249,,"['6818427912', '122659224', '6818427911']"
122659224,34.0304793,-118.2959159,,"['122659222', '122659036', '2514541118']"
122670230,34.0154613,-118.291548,,"['6815190428', '1472141002', '6815190429', '4020099362', '6815190432']"
122670232,34.0155033,-118.2925035,,"['6815190433', '1472141002', '122670235']"
122670235,34.0154982,-118.2930854,,"['6815190434', '122670232', '122670238']"
